gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
YAL003W,339.878,1.397373,0.35998273,3.166483e-06,0.0001191145
YAL012W,169.7128,1.329831,0.54907679,0.0002888332,0.003973249
YAL014C,22.49004,1.367039,0.41325026,2.328049e-05,0.0005695069
YAL023C,84.96818,1.115197,0.38025933,9.611275e-05,0.001748391
YAL038W,365.1598,1.200464,0.44971328,0.0001905095,0.002980378
YAL065C,94.14755,1.596775,0.54422054,4.837782e-05,0.0009926412
YAR002C-A,73.73389,1.070371,0.32863669,3.38695e-05,0.0007560467
YBL027W,372.7926,1.153855,0.43361202,0.0002084356,0.003144075
YBL042C,66.94461,1.085381,0.36612824,8.960073e-05,0.001641813
YBL072C,410.1082,1.956064,0.48665697,8.766591e-07,4.527424e-05
YBL087C,126.3357,1.212297,0.65186741,0.00121097,0.01186439
YBL092W,690.3767,2.240612,0.54415491,2.721606e-07,1.801638e-05
YBL099W,447.6802,1.033549,0.28917094,1.08382e-05,0.0003100843
YBR011C,135.809,1.683391,0.50498599,1.388556e-05,0.0003863862
YBR030W,83.07708,1.635234,0.32012831,1.472096e-08,1.75901e-06
YBR031W,292.1394,1.793114,0.58484392,2.211194e-05,0.0005522549
YBR035C,82.91147,1.180843,0.32464509,8.171213e-06,0.000254058
YBR067C,1405.866,1.538869,0.48230116,2.690512e-05,0.0006384582
YBR088C,30.617,1.580179,0.69217224,0.0001989415,0.00306924
YBR111C,106.0258,1.172182,0.24169363,4.479282e-08,4.265116e-06
YBR118W,706.2313,1.381809,0.97069579,0.0006170594,0.006963629
YBR181C,321.2528,1.296772,0.41889012,4.832323e-05,0.0009926412
YBR189W,659.2535,1.608835,0.50485128,2.416418e-05,0.0005866793
YBR234C,136.4012,1.288308,0.4922172,0.0001918222,0.002982053
YBR263W,87.69076,1.254097,0.40064029,4.513395e-05,0.0009419393
YCL001W,74.38952,1.089711,0.34188802,4.248482e-05,0.0008958564
YCL005W-A,83.10379,1.000378,0.46137591,0.001050815,0.01058457
YCR031C,367.7796,1.838261,0.61459175,2.336343e-05,0.0005695069
YCR036W,69.07342,1.24365,0.28966478,6.045475e-07,3.377655e-05
YDL022W,101.7176,1.23589,0.31710313,3.033305e-06,0.0001168634
YDL061C,103.4359,1.626841,0.6395573,0.0001086294,0.001918805
YDL075W,595.0307,1.169275,0.28936917,1.6868e-06,7.525328e-05
YDL136W,190.0415,1.307154,0.57773107,0.0004349407,0.005337281
YDL191W,231.4399,1.10188,0.41048552,0.0002093569,0.003150175
YDL229W,126.196,1.392407,0.65612949,0.0004587291,0.005492132
YDL230W,53.21585,1.311444,0.42875691,5.329178e-05,0.001080533
YDR012W,311.6409,1.579746,0.60122426,0.0001033627,0.00183642
YDR025W,306.7931,1.488638,0.3959619,4.663135e-06,0.0001644259
YDR032C,87.08258,1.605974,0.46272892,1.053916e-05,0.0003029976
YDR044W,95.61682,1.216811,0.48933738,0.0003047588,0.004108849
YDR047W,62.44199,1.143638,0.37729176,6.821477e-05,0.001336659
YDR064W,463.7754,1.634631,0.57916736,5.83526e-05,0.001165904
YDR155C,344.3286,1.118292,0.532881,0.000963648,0.009824322
YDR156W,25.03976,1.118232,0.56465621,0.001251347,0.01210429
YDR226W,85.79791,2.006568,0.54319667,2.256541e-06,9.291459e-05
YDR297W,137.6033,1.015962,0.27650878,7.423065e-06,0.0002343843
YDR353W,153.0491,1.096777,0.26024227,7.900576e-07,4.186618e-05
YDR385W,105.8787,1.04242,0.50567838,0.001248412,0.01209511
YDR418W,197.5301,2.158481,0.56330468,9.338348e-07,4.782176e-05
YDR450W,183.5973,1.418425,0.56574392,0.0001964893,0.003046834
YDR454C,55.26719,1.705845,0.39460681,4.523215e-07,2.756447e-05
YDR471W,156.4524,1.540456,0.58794439,0.0001155539,0.0020061
YDR487C,105.2503,1.487635,0.47957456,3.749847e-05,0.0008074759
YDR497C,97.48065,1.333383,0.36043383,6.301239e-06,0.000204254
YDR500C,55.46827,2.159868,0.63901171,3.355317e-06,0.0001246787
YDR524C-B,384.059,1.425817,0.49764645,7.941183e-05,0.001496135
