gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
Q0020,2846.323,-2.302744,0.45635148,2.566579e-08,1.602344e-07
Q0050,97393.6,-2.984874,0.2805931,7.808072e-29,1.5008059999999998e-26
Q0055,9176.751,-1.730134,0.37865274,1.21013e-06,5.606908e-06
Q0060,1104.39,-1.085074,0.29215603,0.000120354,0.000384975
Q0085,107.7831,-2.400888,0.44700165,3.277963e-09,2.398168e-08
Q0158,122130.6,-2.817044,0.30808081,5.282399e-22,3.490235e-20
Q0250,47.40476,-1.040182,0.30790089,0.0004446636,0.001270496
YAL008W,69.48535,-1.714238,0.33204665,6.458366e-08,3.724129e-07
YAL010C,17.28728,-1.775104,0.42395317,6.134515e-06,2.48634e-05
YAL016W,194.7224,-1.518591,0.31199925,4.102089e-07,2.074924e-06
YAL028W,51.21559,-1.115922,0.25214995,5.606046e-06,2.291182e-05
YAL034C,82.95345,-1.231959,0.52553026,0.008385446,0.01786558
YAL049C,38.99791,-1.374494,0.34027275,2.290486e-05,8.302031e-05
YAL054C,64.18256,-1.708468,0.57578795,0.0006044212,0.001679301
YAL056W,158.0237,-1.489644,0.27686678,2.865492e-08,1.76312e-07
YAL060W,225.1576,-2.914329,0.51931334,1.156212e-10,1.078508e-09
YAL061W,146.7188,-3.0554,0.5280445,2.452858e-11,2.614871e-10
YAL062W,51.9776,-2.345945,0.49975106,1.252887e-07,6.910487e-07
YAL063C,189.8724,-2.216218,0.48901476,4.1128e-07,2.078684e-06
YAL065C,94.14755,-1.36043,0.52347418,0.003499161,0.008175178
YAR023C,28.43356,-1.888447,0.37206123,7.116766e-08,4.076019e-07
YAR028W,7.697774,-1.399846,0.69551733,0.01259144,0.02562319
YAR031W,10.62299,-1.737811,0.73864894,0.002701204,0.006484641
YAR035W,43.35165,-2.661166,0.47899811,4.338519e-10,3.693856e-09
YAR050W,372.2482,-1.999835,0.44827095,1.07001e-06,5.020023e-06
YAR061W,94.53537,-3.581417,0.4911596,2.239411e-16,5.677181e-15
YBL003C,167.2104,-1.945513,0.31312238,9.003262e-11,8.561873e-10
YBL013W,16.05201,-1.999341,0.45148252,1.242545e-06,5.740321e-06
YBL015W,163.0722,-3.101773,0.34234546,3.100062e-22,2.124004e-20
YBL029C-A,40.72234,-1.051896,0.48978997,0.01748535,0.03425248
YBL030C,129.8992,-2.436793,0.31011645,1.687483e-16,4.351099e-15
YBL037W,81.91718,-1.085405,0.23227125,1.788876e-06,7.979493e-06
YBL039W-B,159.398,-1.359434,0.30896112,4.80166e-06,1.981583e-05
YBL043W,20.50997,-1.980395,0.52373946,1.923387e-05,7.084809e-05
YBL044W,4.064551,-1.257752,0.57162915,0.01133177,0.02333682
YBL045C,132.0105,-2.907641,0.29895517,1.335475e-24,1.283473e-22
YBL049W,33.45159,-1.905245,0.53527192,5.336395e-05,0.0001812032
YBL055C,24.16985,-1.110215,0.4166088,0.004182846,0.009602531
YBL064C,447.5942,-1.74976,0.31888661,1.03128e-08,6.96636e-08
YBL086C,231.3236,-1.090782,0.54689348,0.02342239,0.04445488
YBL089W,72.80439,-1.691955,0.23240851,9.862522e-14,1.612319e-12
YBL098W,65.94447,-1.911328,0.37739198,7.149289e-08,4.081776e-07
YBL111C,32.60253,-3.909818,1.00643161,1.050506e-07,5.83993e-07
YBR004C,116.1163,-1.278997,0.30573887,1.396029e-05,5.286574e-05
YBR005W,18.67795,-2.216091,0.54143967,2.775043e-06,1.19094e-05
YBR006W,56.55904,-2.823292,0.45130285,3.277501e-12,4.076312e-11
YBR009C,132.685,-3.214108,0.53834047,4.708766e-12,5.646069e-11
YBR010W,134.1459,-2.591476,0.40961988,5.457667e-12,6.482768e-11
YBR013C,31.92051,-1.068375,0.35531256,0.00153902,0.003907927
YBR016W,213.9299,-1.08755,0.32250911,0.0004336223,0.001242306
YBR022W,30.29158,-1.877664,0.38279058,1.737761e-07,9.396947e-07
YBR033W,82.76738,-1.272434,0.31332955,2.381049e-05,8.625354e-05
YBR037C,79.69064,-1.335271,0.28831395,1.676157e-06,7.54568e-06
YBR039W,123.4841,-2.94155,0.38984764,2.246527e-16,5.677181e-15
YBR046C,79.50087,-1.214999,0.32403566,9.110096e-05,0.0002967917
YBR050C,240.5181,-2.282016,0.49230624,2.055601e-07,1.092017e-06
YBR052C,515.0375,-1.126663,0.22678862,3.943734e-07,2.001208e-06
YBR054W,167.4795,-1.272338,0.35953128,0.0001906817,0.0005879893
YBR056W,153.4382,-1.328563,0.27728483,7.744667e-07,3.741388e-06
YBR067C,1405.866,-1.296068,0.44316938,0.001503559,0.003831689
YBR077C,52.293,-1.021621,0.30002849,0.0004108442,0.001185616
YBR085C-A,164.282,-2.374385,0.61869276,4.522781e-06,1.87377e-05
YBR089C-A,64.2876,-1.175471,0.2402424,5.514673e-07,2.720029e-06
YBR090C,88.36707,-1.467676,0.2831197,8.582374e-08,4.838933e-07
YBR096W,68.14106,-1.551473,0.27407939,5.357755e-09,3.827054e-08
YBR097W,138.9658,-1.454418,0.24698775,1.596411e-09,1.239417e-08
YBR104W,72.49022,-2.83507,0.40519602,2.079379e-14,3.790086e-13
YBR105C,93.77291,-1.601808,0.38330566,8.891882e-06,3.492335e-05
YBR107C,6.596827,-1.517002,0.62194788,0.003871447,0.008965532
YBR111W-A,9.718003,-2.444472,0.66107272,6.052113e-06,2.454511e-05
YBR117C,112.1933,-1.946408,0.49067637,1.019452e-05,3.97198e-05
YBR125C,54.85152,-1.309124,0.30320585,7.428723e-06,2.963547e-05
YBR126W-A,93.17302,-1.477092,0.31797289,1.295766e-06,5.955828e-06
YBR128C,133.698,-1.00309,0.25078863,4.064668e-05,0.0001412341
YBR132C,169.0498,-3.63949,0.48547749,4.3869680000000007e-17,1.231263e-15
YBR133C,100.4785,-1.165715,0.25039747,1.802907e-06,8.030785e-06
YBR139W,151.9951,-1.806644,0.27975071,2.49581e-11,2.656195e-10
YBR144C,5.109752,-2.119199,1.00990923,0.001387449,0.003562991
YBR145W,57.06034,-2.641842,0.47126597,3.523367e-10,3.048939e-09
YBR147W,155.6888,-2.569016,0.42291798,2.917756e-11,3.079422e-10
YBR149W,112.5401,-3.027735,0.30584947,1.3566390000000001e-25,1.4106820000000003e-23
YBR159W,67.65897,-2.130972,0.31062594,7.676683e-13,1.086902e-11
YBR164C,14.2456,-1.33731,0.48636569,0.002383715,0.005786415
YBR168W,23.85785,-1.122527,0.37161701,0.001386884,0.003562982
YBR182C-A,9.506652,-1.283681,0.54632257,0.007600514,0.01634794
YBR194W,22.22409,-1.299619,0.38361604,0.0003192788,0.0009442093
YBR195C,40.05144,-2.024244,0.33936275,3.464329e-10,3.01017e-09
YBR201C-A,5.762446,-2.206026,0.74486844,0.0001489383,0.0004681446
YBR201W,79.26677,-1.916614,0.28861258,5.882336e-12,6.948167e-11
YBR204C,32.30248,-1.804451,0.38017978,4.466369e-07,2.23954e-06
YBR210W,33.45073,-2.184362,0.38533468,1.275867e-09,1.00532e-08
YBR211C,96.94118,-1.708119,0.24222375,5.056498e-13,7.438065e-12
YBR221C,37.46738,-1.600885,0.34720938,1.258982e-06,5.807635e-06
YBR223C,35.19882,-1.272567,0.26974285,1.188188e-06,5.521376e-06
YBR225W,207.116,-1.340577,0.19418663,2.428771e-12,3.124887e-11
YBR230C,279.7449,-3.832028,0.35131107,5.358909e-31,1.4778940000000001e-28
YBR230W-A,36.39179,-2.403166,0.33810724,5.568831e-14,9.469999e-13
YBR240C,10.45276,-1.317443,0.58224184,0.008815891,0.01865217
YBR241C,261.4828,-1.558554,0.3443682,2.013443e-06,8.887451e-06
YBR251W,61.88829,-1.365932,0.34024762,2.571967e-05,9.269312e-05
YBR256C,209.8669,-1.738324,0.37098553,6.849581e-07,3.334374e-06
YBR270C,46.42496,-1.350407,0.27437405,3.918649e-07,1.990071e-06
YBR280C,72.4515,-1.721088,0.47711954,6.957483e-05,0.0002308123
YBR285W,62.04554,-3.079124,0.44808786,1.840774e-14,3.374574e-13
YBR287W,240.0513,-1.030406,0.2745479,0.000108669,0.0003491831
YBR294W,11.83614,-1.250959,0.4510426,0.002533344,0.006119193
YBR296C,9.354498,-1.604797,0.64611615,0.002838224,0.00678329
YBR297W,1012.199,-4.163011,0.40107118,2.899916e-28,4.804173e-26
YBR298C,1007.116,-2.758162,0.31117133,8.878645e-21,5.028325e-19
YBR299W,2349.121,-4.444525,0.41843712,4.924323e-29,1.00758e-26
YCL002C,38.97277,-2.005583,0.31079716,1.667707e-11,1.842904e-10
YCL012C,75.89382,-1.559962,0.4477334,0.0001500676,0.0004714606
YCL025C,1497.969,-1.509047,0.2711163,9.825712e-09,6.68001e-08
YCL030C,126.6891,-2.473623,0.43503526,4.289995e-10,3.66731e-09
YCL038C,60.63691,-2.480072,0.33776762,7.498209e-15,1.477054e-13
YCL039W,95.85819,-1.34084,0.24720675,2.728569e-08,1.691819e-07
YCL040W,306.0073,-2.367259,0.29774738,1.033909e-16,2.8026e-15
YCL042W,40.6678,-2.770371,0.5860066,2.243871e-08,1.41903e-07
YCL048W,8.007048,-1.099806,0.49908112,0.01435818,0.02872994
YCL049C,107.6068,-2.059073,0.22311925,3.962304e-21,2.4166239999999997e-19
YCR003W,291.755,-1.682591,0.22932314,6.556151e-14,1.09436e-12
YCR005C,361.4325,-3.555473,0.35124344,2.4752510000000002e-27,3.4890030000000003e-25
YCR006C,12.90439,-2.841865,0.56152898,3.184303e-09,2.34316e-08
YCR007C,40.70344,-1.500202,0.3698577,1.775935e-05,6.57988e-05
YCR010C,24.73801,-4.552727,0.6399781,1.790342e-15,3.92946e-14
YCR011C,330.1446,-1.756636,0.17601178,5.093991e-24,4.68278e-22
YCR012W,577.0671,-1.513517,0.4757843,0.0004644315,0.001318071
YCR020C-A,27.68464,-3.648629,0.62385163,4.291043e-12,5.194291e-11
YCR021C,1098.399,-2.702283,0.8014353,8.449502e-06,3.324764e-05
YCR023C,138.5032,-1.354342,0.23049064,1.954285e-09,1.491701e-08
YCR028C,29.08953,-1.501143,0.32715739,1.640206e-06,7.394335e-06
YCR041W,205.6864,-1.367553,0.29175086,1.22812e-06,5.685366e-06
YCR044C,42.30703,-1.088723,0.35165289,0.001124374,0.002949505
YCR061W,104.6478,-3.180488,0.36755927,8.856579e-21,5.028325e-19
YCR075C,4.814673,-1.962805,0.79641261,0.00110413,0.002904811
YCR079W,22.76612,-1.279363,0.40921129,0.0008064152,0.002179417
YCR085W,24.54524,-1.054052,0.44817902,0.01052816,0.02185214
YCR091W,151.1029,-1.792059,0.41325895,3.082674e-06,1.310113e-05
YCR093W,392.0893,-1.089456,0.16781606,5.184561e-11,5.154493e-10
YCR097W,886.885,-2.095559,0.33925885,7.765283e-11,7.451617e-10
YDL006W,31.85232,-1.028677,0.3053608,0.0004653704,0.001319963
YDL009C,67.86538,-2.690574,0.41447582,1.23788e-12,1.695869e-11
YDL021W,216.9169,-1.487484,0.36917352,2.028223e-05,7.432131e-05
YDL022C-A,10.18361,-1.344421,0.60097009,0.008885352,0.01878034
YDL022W,101.7176,-2.235119,0.34074024,4.359112e-12,5.266637e-11
YDL033C,24.0307,-1.570482,0.4081532,3.708223e-05,0.0001297367
YDL046W,40.4005,-1.784891,0.39593804,1.439123e-06,6.55302e-06
YDL049C,24.43911,-2.562736,0.41254915,1.270016e-11,1.438519e-10
YDL052C,252.6182,-2.137051,0.24736659,6.596387999999999e-19,2.5669260000000004e-17
YDL066W,71.85316,-1.120002,0.27540757,2.745279e-05,9.838025e-05
YDL067C,30.43861,-1.019465,0.38555094,0.004920926,0.01106467
YDL078C,266.9048,-3.824321,0.3692505,2.0079700000000002e-28,3.746045e-26
YDL079C,659.7937,-2.541489,0.36070917,5.104562e-14,8.77459e-13
YDL085W,112.6008,-2.760039,0.3778974,3.100628e-15,6.59976e-14
YDL110C,167.1465,-1.648023,0.26678419,2.020739e-10,1.812949e-09
YDL120W,38.64761,-1.0307,0.31036775,0.0005509637,0.001540222
YDL123W,110.4436,-3.28896,0.2845266,6.743804e-34,2.138797e-31
YDL124W,234.483,-1.026503,0.30491945,0.0004701254,0.001332442
YDL125C,186.2171,-1.838854,0.24587892,1.705389e-14,3.135444e-13
YDL128W,49.4515,-2.784955,0.2995986,1.492501e-22,1.1008059999999999e-20
YDL130W-A,1328.83,-1.573821,0.31725759,2.347888e-07,1.232836e-06
YDL133C-A,191.5029,-1.510957,0.45546609,0.0002948196,0.0008800192
YDL137W,50.92126,-1.069765,0.39381408,0.003772411,0.008752159
YDL141W,35.20716,-1.078107,0.29653035,0.0001642588,0.0005109827
YDL146W,70.5534,-1.295974,0.31710015,2.072239e-05,7.584657e-05
YDL160C,53.85131,-1.652663,0.28866367,3.132455e-09,2.310368e-08
YDL168W,557.3225,-1.858182,0.32297265,1.799792e-09,1.38713e-08
YDL169C,119.2805,-1.689155,0.57056912,0.0006451536,0.001776704
YDL173W,496.8923,-1.178202,0.1896647,2.946471e-10,2.581418e-09
YDL178W,293.2138,-1.060037,0.20592719,1.636798e-07,8.866103e-07
YDL181W,73.39156,-1.656985,0.28637226,2.173078e-09,1.646814e-08
YDL183C,29.63642,-1.179268,0.3509063,0.0004088014,0.001180258
YDL184C,223.7488,-1.646717,0.39929303,1.036922e-05,4.025212e-05
YDL194W,131.8096,-1.388614,0.25318323,1.832305e-08,1.177539e-07
YDL199C,68.48583,-1.268528,0.25359571,2.856952e-07,1.480527e-06
YDL203C,34.5961,-1.119268,0.3031151,0.000126462,0.000402685
YDL204W,217.0137,-3.522219,0.45101098,4.259535e-18,1.43714e-16
YDL205C,124.7384,-1.350217,0.23192267,2.715402e-09,2.019202e-08
YDL206W,121.0764,-1.425126,0.18649247,9.355521e-15,1.798245e-13
